"","title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","characteristics_ch1.1","molecule_ch1","extract_protocol_ch1","label_ch1","label_protocol_ch1","taxid_ch1","hyb_protocol","scan_protocol","description","data_processing","platform_id","contact_name","contact_email","contact_phone","contact_fax","contact_department","contact_institute","contact_address","contact_city","contact_state","contact_zip/postal_code","contact_country","supplementary_file","data_row_count","metastatic tumor site:ch1","primary tumor site:ch1"
"GSM461711","Ovary01_(Ovary_to_Omentum)","GSM461711","Public on Feb 13 2016","Oct 14 2009","Feb 13 2016","RNA","1","Ovary (primary site) to Omentum (metastatic site) laser capture microdissected tumor sample","Homo sapiens","primary tumor site: Ovary","metastatic tumor site: Omentum","total RNA","Total RNA from laser capture microdissected adenocarcinoma patient tumor samples was extracted using the Ambion Mirvana totalRNA extraction kit.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 6 ug total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).","9606","The resulting biotin-labeled RNA samples were then hybridized with Affymetrix U133 Plus 2.0 GeneChip arrays according to the manufacturer's instructions (Affymetrix, Santa Clara, CA).","GeneChips were scanned using the Hewlett-Packard GeneArray Scanner G2500A.","Gene expression data from laser capture microdissected metastatic tumor sample","The data were analyzed using the open-source R platform with statistical microarray analysis tools compiled by Bioconductor and normalized with Bioconductor's standard RMA analysis methods.","GPL570","David,,Hsu","hsu00018@dm.duke.edu","919-684-1739","919-668-4777","Institute for Genome Sciences and Policy","Duke University","Rm 2167 CIEMAS Bldg, 101 Science Dr.","Durham","NC","27710","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM461nnn/GSM461711/suppl/GSM461711.CEL.gz","54613","Omentum","Ovary"
"GSM461712","Renal01_(Renal_to_Adrenal)","GSM461712","Public on Feb 13 2016","Oct 14 2009","Feb 13 2016","RNA","1","Renal (primary site) to Adrenal (metastatic site) laser capture microdissected tumor sample","Homo sapiens","primary tumor site: Renal","metastatic tumor site: Adrenal","total RNA","Total RNA from laser capture microdissected adenocarcinoma patient tumor samples was extracted using the Ambion Mirvana totalRNA extraction kit.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 6 ug total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).","9606","The resulting biotin-labeled RNA samples were then hybridized with Affymetrix U133 Plus 2.0 GeneChip arrays according to the manufacturer's instructions (Affymetrix, Santa Clara, CA).","GeneChips were scanned using the Hewlett-Packard GeneArray Scanner G2500A.","Gene expression data from laser capture microdissected metastatic tumor sample","The data were analyzed using the open-source R platform with statistical microarray analysis tools compiled by Bioconductor and normalized with Bioconductor's standard RMA analysis methods.","GPL570","David,,Hsu","hsu00018@dm.duke.edu","919-684-1739","919-668-4777","Institute for Genome Sciences and Policy","Duke University","Rm 2167 CIEMAS Bldg, 101 Science Dr.","Durham","NC","27710","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM461nnn/GSM461712/suppl/GSM461712.CEL.gz","54613","Adrenal","Renal"
"GSM461713","Ovary02_(Ovary_to_Omentum)","GSM461713","Public on Feb 13 2016","Oct 14 2009","Feb 13 2016","RNA","1","Ovary (primary site) to Omentum (metastatic site) laser capture microdissected tumor sample","Homo sapiens","primary tumor site: Ovary","metastatic tumor site: Omentum","total RNA","Total RNA from laser capture microdissected adenocarcinoma patient tumor samples was extracted using the Ambion Mirvana totalRNA extraction kit.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 6 ug total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).","9606","The resulting biotin-labeled RNA samples were then hybridized with Affymetrix U133 Plus 2.0 GeneChip arrays according to the manufacturer's instructions (Affymetrix, Santa Clara, CA).","GeneChips were scanned using the Hewlett-Packard GeneArray Scanner G2500A.","Gene expression data from laser capture microdissected metastatic tumor sample","The data were analyzed using the open-source R platform with statistical microarray analysis tools compiled by Bioconductor and normalized with Bioconductor's standard RMA analysis methods.","GPL570","David,,Hsu","hsu00018@dm.duke.edu","919-684-1739","919-668-4777","Institute for Genome Sciences and Policy","Duke University","Rm 2167 CIEMAS Bldg, 101 Science Dr.","Durham","NC","27710","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM461nnn/GSM461713/suppl/GSM461713.CEL.gz","54613","Omentum","Ovary"
"GSM461714","Colon01_(Colon_to_Liver)","GSM461714","Public on Feb 13 2016","Oct 14 2009","Feb 13 2016","RNA","1","Colon (primary site) to Liver (metastatic site) laser capture microdissected tumor sample","Homo sapiens","primary tumor site: Colon","metastatic tumor site: Liver","total RNA","Total RNA from laser capture microdissected adenocarcinoma patient tumor samples was extracted using the Ambion Mirvana totalRNA extraction kit.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 6 ug total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).","9606","The resulting biotin-labeled RNA samples were then hybridized with Affymetrix U133 Plus 2.0 GeneChip arrays according to the manufacturer's instructions (Affymetrix, Santa Clara, CA).","GeneChips were scanned using the Hewlett-Packard GeneArray Scanner G2500A.","Gene expression data from laser capture microdissected metastatic tumor sample","The data were analyzed using the open-source R platform with statistical microarray analysis tools compiled by Bioconductor and normalized with Bioconductor's standard RMA analysis methods.","GPL570","David,,Hsu","hsu00018@dm.duke.edu","919-684-1739","919-668-4777","Institute for Genome Sciences and Policy","Duke University","Rm 2167 CIEMAS Bldg, 101 Science Dr.","Durham","NC","27710","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM461nnn/GSM461714/suppl/GSM461714.CEL.gz","54613","Liver","Colon"
"GSM461715","Ovary03_(Ovary_to_Omentum)","GSM461715","Public on Feb 13 2016","Oct 14 2009","Feb 13 2016","RNA","1","Ovary (primary site) to Omentum (metastatic site) laser capture microdissected tumor sample","Homo sapiens","primary tumor site: Ovary","metastatic tumor site: Omentum","total RNA","Total RNA from laser capture microdissected adenocarcinoma patient tumor samples was extracted using the Ambion Mirvana totalRNA extraction kit.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 6 ug total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).","9606","The resulting biotin-labeled RNA samples were then hybridized with Affymetrix U133 Plus 2.0 GeneChip arrays according to the manufacturer's instructions (Affymetrix, Santa Clara, CA).","GeneChips were scanned using the Hewlett-Packard GeneArray Scanner G2500A.","Gene expression data from laser capture microdissected metastatic tumor sample","The data were analyzed using the open-source R platform with statistical microarray analysis tools compiled by Bioconductor and normalized with Bioconductor's standard RMA analysis methods.","GPL570","David,,Hsu","hsu00018@dm.duke.edu","919-684-1739","919-668-4777","Institute for Genome Sciences and Policy","Duke University","Rm 2167 CIEMAS Bldg, 101 Science Dr.","Durham","NC","27710","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM461nnn/GSM461715/suppl/GSM461715.CEL.gz","54613","Omentum","Ovary"
"GSM461716","Colon02_(Colon_to_Liver)","GSM461716","Public on Feb 13 2016","Oct 14 2009","Feb 13 2016","RNA","1","Colon (primary site) to Liver (metastatic site) laser capture microdissected tumor sample","Homo sapiens","primary tumor site: Colon","metastatic tumor site: Liver","total RNA","Total RNA from laser capture microdissected adenocarcinoma patient tumor samples was extracted using the Ambion Mirvana totalRNA extraction kit.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 6 ug total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).","9606","The resulting biotin-labeled RNA samples were then hybridized with Affymetrix U133 Plus 2.0 GeneChip arrays according to the manufacturer's instructions (Affymetrix, Santa Clara, CA).","GeneChips were scanned using the Hewlett-Packard GeneArray Scanner G2500A.","Gene expression data from laser capture microdissected metastatic tumor sample","The data were analyzed using the open-source R platform with statistical microarray analysis tools compiled by Bioconductor and normalized with Bioconductor's standard RMA analysis methods.","GPL570","David,,Hsu","hsu00018@dm.duke.edu","919-684-1739","919-668-4777","Institute for Genome Sciences and Policy","Duke University","Rm 2167 CIEMAS Bldg, 101 Science Dr.","Durham","NC","27710","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM461nnn/GSM461716/suppl/GSM461716.CEL.gz","54613","Liver","Colon"
"GSM461717","Ovary04_(Ovary_to_Omentum)","GSM461717","Public on Feb 13 2016","Oct 14 2009","Feb 13 2016","RNA","1","Ovary (primary site) to Omentum (metastatic site) laser capture microdissected tumor sample","Homo sapiens","primary tumor site: Ovary","metastatic tumor site: Omentum","total RNA","Total RNA from laser capture microdissected adenocarcinoma patient tumor samples was extracted using the Ambion Mirvana totalRNA extraction kit.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 6 ug total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).","9606","The resulting biotin-labeled RNA samples were then hybridized with Affymetrix U133 Plus 2.0 GeneChip arrays according to the manufacturer's instructions (Affymetrix, Santa Clara, CA).","GeneChips were scanned using the Hewlett-Packard GeneArray Scanner G2500A.","Gene expression data from laser capture microdissected metastatic tumor sample","The data were analyzed using the open-source R platform with statistical microarray analysis tools compiled by Bioconductor and normalized with Bioconductor's standard RMA analysis methods.","GPL570","David,,Hsu","hsu00018@dm.duke.edu","919-684-1739","919-668-4777","Institute for Genome Sciences and Policy","Duke University","Rm 2167 CIEMAS Bldg, 101 Science Dr.","Durham","NC","27710","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM461nnn/GSM461717/suppl/GSM461717.CEL.gz","54613","Omentum","Ovary"
"GSM461718","Ovary05_(Ovary_to_Omentum)","GSM461718","Public on Feb 13 2016","Oct 14 2009","Feb 13 2016","RNA","1","Ovary (primary site) to Omentum (metastatic site) laser capture microdissected tumor sample","Homo sapiens","primary tumor site: Ovary","metastatic tumor site: Omentum","total RNA","Total RNA from laser capture microdissected adenocarcinoma patient tumor samples was extracted using the Ambion Mirvana totalRNA extraction kit.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 6 ug total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).","9606","The resulting biotin-labeled RNA samples were then hybridized with Affymetrix U133 Plus 2.0 GeneChip arrays according to the manufacturer's instructions (Affymetrix, Santa Clara, CA).","GeneChips were scanned using the Hewlett-Packard GeneArray Scanner G2500A.","Gene expression data from laser capture microdissected metastatic tumor sample","The data were analyzed using the open-source R platform with statistical microarray analysis tools compiled by Bioconductor and normalized with Bioconductor's standard RMA analysis methods.","GPL570","David,,Hsu","hsu00018@dm.duke.edu","919-684-1739","919-668-4777","Institute for Genome Sciences and Policy","Duke University","Rm 2167 CIEMAS Bldg, 101 Science Dr.","Durham","NC","27710","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM461nnn/GSM461718/suppl/GSM461718.CEL.gz","54613","Omentum","Ovary"
"GSM461719","Colon03_(Colon_to_Liver)","GSM461719","Public on Feb 13 2016","Oct 14 2009","Feb 13 2016","RNA","1","Colon (primary site) to Liver (metastatic site) laser capture microdissected tumor sample","Homo sapiens","primary tumor site: Colon","metastatic tumor site: Liver","total RNA","Total RNA from laser capture microdissected adenocarcinoma patient tumor samples was extracted using the Ambion Mirvana totalRNA extraction kit.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 6 ug total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).","9606","The resulting biotin-labeled RNA samples were then hybridized with Affymetrix U133 Plus 2.0 GeneChip arrays according to the manufacturer's instructions (Affymetrix, Santa Clara, CA).","GeneChips were scanned using the Hewlett-Packard GeneArray Scanner G2500A.","Gene expression data from laser capture microdissected metastatic tumor sample","The data were analyzed using the open-source R platform with statistical microarray analysis tools compiled by Bioconductor and normalized with Bioconductor's standard RMA analysis methods.","GPL570","David,,Hsu","hsu00018@dm.duke.edu","919-684-1739","919-668-4777","Institute for Genome Sciences and Policy","Duke University","Rm 2167 CIEMAS Bldg, 101 Science Dr.","Durham","NC","27710","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM461nnn/GSM461719/suppl/GSM461719.CEL.gz","54613","Liver","Colon"
"GSM461720","Renal02_(Renal_to_Retroperitoneal)","GSM461720","Public on Feb 13 2016","Oct 14 2009","Feb 13 2016","RNA","1","Renal (primary site) to Retroperitoneal (metastatic site) laser capture microdissected tumor sample","Homo sapiens","primary tumor site: Renal","metastatic tumor site: Retroperitoneal","total RNA","Total RNA from laser capture microdissected adenocarcinoma patient tumor samples was extracted using the Ambion Mirvana totalRNA extraction kit.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 6 ug total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).","9606","The resulting biotin-labeled RNA samples were then hybridized with Affymetrix U133 Plus 2.0 GeneChip arrays according to the manufacturer's instructions (Affymetrix, Santa Clara, CA).","GeneChips were scanned using the Hewlett-Packard GeneArray Scanner G2500A.","Gene expression data from laser capture microdissected metastatic tumor sample","The data were analyzed using the open-source R platform with statistical microarray analysis tools compiled by Bioconductor and normalized with Bioconductor's standard RMA analysis methods.","GPL570","David,,Hsu","hsu00018@dm.duke.edu","919-684-1739","919-668-4777","Institute for Genome Sciences and Policy","Duke University","Rm 2167 CIEMAS Bldg, 101 Science Dr.","Durham","NC","27710","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM461nnn/GSM461720/suppl/GSM461720.CEL.gz","54613","Retroperitoneal","Renal"
