id	filename	md5	size	state
34d5021c-90ef-4b84-9fa2-3f96ac0a0f1d	C282.TCGA-06-2569-01A-01W-0837-08.3_gdc_realn.bam	c0ec5c16f627243a4cffe86a554de4d6	20550293959	live
0ef1e8d2-06c9-462c-abe4-dfa11a3df2e8	C484.TCGA-15-1444-10A-01D-1696-08.4_gdc_realn.bam	f79a3f703a4df4fcd23747bd108eacd0	11088929061	live
ef5d98e1-4275-41d9-8ae1-8ae96e58ae1c	DREES_p_TCGAb_346_347_NSP_GenomeWideSNP_6_A04_1373890.grch38.seg.txt	8855d6e65c9a662c102fb66494c4e8e7	26244	live
bd671cec-da05-4d0f-9ca3-c122dbd9250c	PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_F07_896114.grch38.seg.txt	97722d903d5f3e413f662fa8eaf9be92	31174	live
cf45bf26-1dc2-47f0-81a7-ae587417d0b4	cf45bf26-1dc2-47f0-81a7-ae587417d0b4.vcf.gz	a67367dea33bb394b1a5c16dbf0ce08b	31176	live
e6c846fb-0886-46c5-8ee6-9f460f401b89	GHATS_p_TCGAaffx_B3_GBM_GenomeWideSNP_6_C02_160106.grch38.seg.txt	64ac91e3cbd2c1a59216100c589a1d6a	30621	live
95efc7d5-a3d4-4e7e-9fdb-188f132b16f9	95efc7d5-a3d4-4e7e-9fdb-188f132b16f9.vcf.gz	50f6ef014d680d8ece8d6909cce59fcf	306316	live
7cfd13cb-f822-4230-97ec-81ff0e263452	nationwidechildrens.org_biospecimen.TCGA-16-1056.xml	fc6f6b97b2682456e6aa02f3c42307f6	88784	live
cb78cf8f-aa7d-4573-a762-3d876d595c75	jhu-usc.edu_GBM.HumanMethylation27.5.lvl-3.TCGA-27-1832-01A-01D-0595-05.gdc_hg38.txt	ac676a5e93739f49b373b1a4c4c4c34d	9955127	live
8f8ba51e-09ce-4feb-b3e6-79b9afac789e	8f8ba51e-09ce-4feb-b3e6-79b9afac789e.vep.vcf.gz	31cf02264361e552e945f94bde877aa9	1127629	live
812ede23-ef61-46b2-be37-c776311760fc	C484.TCGA-76-6285-10A-01D-1696-08.4_gdc_realn.bam	9cdedd27bd5310bac00459d661ca0f87	9143052971	live
e90fa774-0b50-4433-9f42-974f2948a355	e90fa774-0b50-4433-9f42-974f2948a355.vep.vcf.gz	5252f521ebbcc1fcc6df20aef339989a	270186	live
3ff4f9ba-9614-44b9-a07f-d40c1a9610b1	3ff4f9ba-9614-44b9-a07f-d40c1a9610b1.vep.vcf.gz	c425309fc2107c4129719ece14aa60f9	615476	live
0a8349d6-33e3-434e-8e1d-fa8444f96fc3	nationwidechildrens.org_biospecimen.TCGA-28-2512.xml	688646c24bdc65e8841312274519be0f	82149	live
7e6152e5-f531-4a49-bfd9-843adcea2653	C282.TCGA-19-2621-01B-01W-0922-08.3_gdc_realn.bam	a9cd4c0aff8745ca5cf45e4bbfa66a2a	25077592104	live
